Airport name,DST,IATA,ICAO,Location served,Time
Camooweal Airport,,CML,YCMW,"Camooweal, Queensland, Australia",UTC+10:00
Carmelita Airport,,CMM,MGCR,"Carmelita, Guatemala",UTC−06:00
Mohammed V International Airport,Mar-Oct1,CMN,GMMN,"Casablanca, Morocco",UTC±00:00
Obbia Airport,,CMO,HCMO,"Obbia, Somalia",UTC+03:00
Santana do Araguaia Airport,,CMP,SNKE,"Santana do Araguaia, Pará, Brazil",UTC−03:00
Clermont Airport,,CMQ,YCMT,"Clermont, Queensland, Australia",UTC+10:00
Colmar - Houssen Airport,Mar-Oct,CMR,LFGA,"Colmar, Alsace, France",UTC+01:00
Iskushuban Airport,,CMS,HCMS,"Iskushuban (Scusciuban), Somalia",UTC+03:00
Cameta Airport,,CMT,,"Cametá, Pará, Brazil",UTC−03:00
Chimbu Airport,,CMU,AYCH,"Kundiawa, Papua New Guinea",UTC+10:00
Coromandel Aerodrome,Sep-Apr,CMV,NZCX,"Coromandel, New Zealand",UTC+12:00
Ignacio Agramonte International Airport,Mar-Nov,CMW,MUCM,"Camagüey, Cuba",UTC−05:00
Houghton County Memorial Airport,Mar-Nov,CMX,KCMX,"Hancock, Michigan, United States",UTC−05:00
Sparta/Fort McCoy Airport,Mar-Nov,CMY,KCMY,"Sparta, Wisconsin, United States",UTC−06:00
Caia Airport[1],,CMZ,,"Caia, Mozambique",UTC+02:00
Cananea National Airport,,CNA,MMCA,"Cananea, Sonora, Mexico",UTC−07:00
Coonamble Airport,Oct-Apr,CNB,YCNM,"Coonamble, New South Wales, Australia",UTC+10:00
Coconut Island Airport,,CNC,YCCT,"Coconut (Poruma) Island, Queensland, Australia",UTC+10:00
Mihail Kogălniceanu International Airport,Mar-Oct,CND,LRCK,"Constanța, Romania",UTC+02:00
Fremont County Airport (FAA: 1V6),Mar-Nov,CNE,,"Cañon City, Colorado, United States",UTC−07:00
Tancredo Neves International Airport (Confins Int'l Airport),Oct-Feb,CNF,SBCF,"Belo Horizonte, Minas Gerais, Brazil",UTC−03:00
Cognac – Châteaubernard Air Base,Mar-Oct,CNG,LFBG,"Cognac, Poitou-Charentes, France",UTC+01:00
Claremont Municipal Airport,Mar-Nov,CNH,KCNH,"Claremont, New Hampshire, United States",UTC−05:00
Changhai Airport,,CNI,ZYCH,"Changhai, Liaoning, China",UTC+08:00
Cloncurry Airport,,CNJ,YCCY,"Cloncurry, Queensland, Australia",UTC+10:00
Blosser Municipal Airport,Mar-Nov,CNK,KCNK,"Concordia, Kansas, United States",UTC−06:00
Sindal Airport,Mar-Oct,CNL,EKSN,"Sindal, Denmark",UTC+01:00
Cavern City Air Terminal,Mar-Nov,CNM,KCNM,"Carlsbad, New Mexico, United States",UTC−07:00
Kannur International Airport,,CNN,VOKN,"kannur, (Cannanore) Kerala, India",UTC+05:30
Chino Airport,Mar-Nov,CNO,KCNO,"Chino, California, United States",UTC−08:00
Nerlerit Inaat Airport (Constable Pynt Airport),Mar-Oct,CNP,BGCO,"Ittoqqortoormiit, Greenland",UTC−01:00
Doctor Fernando Piragine Niveyro International Airport,,CNQ,SARC,"Corrientes, Corrientes, Argentina",UTC−03:00
